,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,updated_github_id,pypi_id,conda_id,labels,open_issue_count,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,pypi_latest_release_published_at,pypi_dependent_project_count,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,trending,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,conda_forge
30,flake8,PyCQA/flake8,linters,Flake8 is a wrapper around these tools: PyFlakes; pycodestyle; Ned Batchelders McCabe script.,,https://github.com/PyCQA/flake8,https://github.com/PyCQA/flake8,MIT,2014-09-13 17:06:24.000,2025-12-22 21:54:36.000000,2025-12-22 21:54:35,2506.0,,341.0,37.0,395.0,1586.0,3773.0,2025-06-20 19:31:34.000,7.3.0,94.0,178.0,39,True,,flake8,conda-forge/flake8,,23.0,,54892318.0,711773.0,685239.0,https://pypi.org/project/flake8,54745047.0,https://anaconda.org/conda-forge/flake8,2025-06-26 20:01:55.726,10456272.0,1.0,2025-06-20 19:31:34.000,26534.0,,,,,,,,,,,,,,,,,,
31,scons,SCons/scons,build-tools,SCons - a software construction tool.,,https://github.com/SCons/scons,https://github.com/SCons/scons,MIT,2017-09-24 19:23:46.000,2026-03-30 04:53:01.000000,2026-03-30 04:53:01,9901.0,67.0,334.0,58.0,1324.0,2815.0,2364.0,2025-11-16 22:46:54.000,4.10.1,26.0,171.0,39,True,,scons,conda-forge/scons,,631.0,2030.0,988722.0,4196.0,4196.0,https://pypi.org/project/scons,969691.0,https://anaconda.org/conda-forge/scons,2025-11-17 08:09:00.894,1292584.0,1.0,,,,,,,,3.0,,,,,,,,,,,,
32,wheel,pypa/wheel,build-tools,The official binary distribution format for Python.,,https://github.com/pypa/wheel,https://github.com/pypa/wheel,MIT,2017-07-25 20:24:25.000,2026-03-03 21:31:38.000000,2026-03-03 21:31:26,1001.0,14.0,176.0,27.0,263.0,406.0,553.0,2026-01-22 12:39:53.000,0.46.3,40.0,88.0,39,True,,wheel,conda-forge/wheel,,8.0,,520733936.0,385221.0,385221.0,https://pypi.org/project/wheel,518351230.0,https://anaconda.org/conda-forge/wheel,2026-01-23 03:34:02.654,162024050.0,1.0,,,,,,,,,,,,,,,,,,,,
33,Glances,nicolargo/glances,profiling,"Glances an Eye on your system. A top/htop alternative for GNU/Linux, BSD, Mac OS and Windows operating systems.",,https://github.com/nicolargo/glances,https://github.com/nicolargo/glances,,2011-12-04 08:49:15.000,2026-04-02 07:03:08.000000,2026-03-31 06:22:21,7024.0,300.0,1709.0,503.0,1054.0,2081.0,32243.0,2026-03-31 06:07:15.000,4.5.3,135.0,234.0,38,False,,glances,conda-forge/glances,,99.0,1761.0,121849.0,1231.0,1225.0,https://pypi.org/project/glances,111855.0,https://anaconda.org/conda-forge/glances,2026-03-31 07:31:27.987,628832.0,1.0,2026-03-31 06:07:15.000,6.0,,,,,,,,,,,,,,,,,,
34,loguru,Delgan/loguru,logging,Python logging made (stupidly) simple.,,https://github.com/Delgan/loguru,https://github.com/Delgan/loguru,MIT,2017-08-15 17:22:32.000,2026-04-01 18:00:34.000000,2026-03-29 17:05:43,1011.0,19.0,775.0,138.0,303.0,914.0,23766.0,2024-12-06 11:25:42.000,0.7.3,22.0,73.0,38,True,,loguru,conda-forge/loguru,,237.0,,69496406.0,161763.0,150275.0,https://pypi.org/project/loguru,69437767.0,https://anaconda.org/conda-forge/loguru,2026-01-16 11:15:00.482,4163402.0,1.0,2024-12-06 11:20:54.000,11488.0,,,,,,,,,,,,,,,,,,
35,yapf,google/yapf,formatters,A formatter for Python files.,,https://github.com/google/yapf,https://github.com/google/yapf,Apache-2.0,2015-03-18 18:22:31.000,2026-03-06 16:06:41.000000,2025-02-10 20:44:26,1355.0,,890.0,197.0,424.0,473.0,13986.0,,,27.0,156.0,38,False,,yapf,conda-forge/yapf,,391.0,,11998379.0,107743.0,107743.0,https://pypi.org/project/yapf,11945996.0,https://anaconda.org/conda-forge/yapf,2025-04-22 14:56:24.153,3142981.0,2.0,,,,,,,,,,,,,,,,,,,,
36,pipx,pypa/pipx,dependency-managers,Install and Run Python Applications in Isolated Environments.,,https://github.com/pypa/pipx,https://github.com/pypa/pipx,MIT,2018-10-06 18:47:46.000,2026-04-01 23:48:38.000000,2026-04-01 23:48:36,914.0,71.0,535.0,76.0,835.0,778.0,12672.0,2026-03-31 09:49:21.000,1.11.1,71.0,183.0,38,True,,pipx,conda-forge/pipx,,118.0,961631.0,7638310.0,4847.0,4750.0,https://pypi.org/project/pipx,7622303.0,https://anaconda.org/conda-forge/pipx,2026-03-31 19:15:31.018,207343.0,2.0,2026-03-31 09:49:01.000,97.0,,,,,,,,,,,,,,,,,,
37,xonsh,xonsh/xonsh,shell,"Python-powered shell. Full-featured, cross-platform and AI-friendly.",,https://github.com/xonsh/xonsh,https://github.com/xonsh/xonsh,BSD-1-Clause,2015-01-21 22:05:27.000,2026-04-02 14:06:51.000000,2026-04-02 14:06:41,11373.0,313.0,700.0,94.0,3121.0,2574.0,9266.0,2026-03-17 11:58:33.000,0.22.8,153.0,372.0,38,False,,xonsh,,,322.0,14216.0,338870.0,1058.0,880.0,https://pypi.org/project/xonsh,338716.0,,,,1.0,2026-03-17 11:58:33.000,178.0,,,,,,,,,,,,,,,,,,
38,bandit,PyCQA/bandit,security,Bandit is a tool designed to find common security issues in Python code.,,https://github.com/PyCQA/bandit,https://github.com/PyCQA/bandit,Apache-2.0,2018-04-26 09:08:12.000,2026-03-30 22:58:05.000000,2026-03-30 22:58:03,1500.0,14.0,736.0,71.0,613.0,524.0,7897.0,2026-02-25 06:44:13.000,1.9.4,51.0,197.0,38,True,,bandit,conda-forge/bandit,,219.0,918.0,19746011.0,67089.0,63713.0,https://pypi.org/project/bandit,19736819.0,https://anaconda.org/conda-forge/bandit,2026-02-25 10:39:26.216,606090.0,1.0,2026-02-25 06:44:13.000,3376.0,,,,,,,,,,,,,,,,,,
39,jedi,davidhalter/jedi,refactoring,"Awesome autocompletion, static analysis and refactoring library for python.",,https://github.com/davidhalter/jedi,https://github.com/davidhalter/jedi,,2012-02-19 23:12:30.000,2026-03-26 22:31:27.000000,2026-02-13 11:01:08,8510.0,6.0,524.0,108.0,625.0,1367.0,6129.0,,,24.0,178.0,38,False,,jedi,conda-forge/jedi,,95.0,,110356211.0,594001.0,594001.0,https://pypi.org/project/jedi,109827027.0,https://anaconda.org/conda-forge/jedi,2025-04-22 14:56:29.139,37042935.0,1.0,,,,,,,,,,,,,,,,,,,,
