,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,updated_github_id,open_issue_count,pypi_id,conda_id,labels,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,pypi_latest_release_published_at,pypi_dependent_project_count,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,cargo_id,cargo_url,cargo_monthly_downloads,cargo_total_downloads,trending,conda_forge
20,poetry,python-poetry/poetry,dependency-managers,Python packaging and dependency management made easy.,,https://github.com/python-poetry/poetry,https://github.com/python-poetry/poetry,MIT,2018-02-28 15:23:47.000,2026-04-28 11:43:24.000000,2026-04-28 11:43:21,3766.0,63.0,2434.0,184.0,3388.0,5830.0,34277.0,2026-04-12 15:16:07.000,2.3.4,186.0,648.0,42,True,,557.0,poetry,conda-forge/poetry,,15598181.0,77284336.0,917.0,,https://pypi.org/project/poetry,76996343.0,https://anaconda.org/conda-forge/poetry,2026-04-12 18:25:14.879,7891351.0,2.0,2026-04-12 15:16:07.000,917.0,,,,,,,,,,,,,,,,
21,tqdm,tqdm/tqdm,logging,"A Fast, Extensible Progress Bar for Python and CLI.",,https://github.com/tqdm/tqdm,https://github.com/tqdm/tqdm,MPL-2.0,2015-06-03 13:13:14.000,2026-04-25 01:50:42.534347,2026-02-03 16:58:32,2036.0,1.0,1426.0,209.0,619.0,594.0,31142.0,2026-02-03 18:07:15.000,4.67.3,116.0,119.0,42,True,,459.0,tqdm,conda-forge/tqdm,,20608.0,438312720.0,1198126.0,1198126.0,https://pypi.org/project/tqdm,437617801.0,https://anaconda.org/conda-forge/tqdm,2026-02-03 21:18:13.686,48626985.0,1.0,,,tqdm/tqdm,https://hub.docker.com/r/tqdm/tqdm,2026-04-25 01:50:42.534347,3.0,6245.0,,,,,,,,,,,
22,pre-commit,pre-commit/pre-commit,others,A framework for managing and maintaining multi-language pre-commit hooks.,,https://github.com/pre-commit/pre-commit,https://github.com/pre-commit/pre-commit,MIT,2014-03-13 00:39:38.000,2026-04-28 22:25:57.000000,2026-04-28 22:25:55,2833.0,13.0,955.0,91.0,1335.0,2262.0,15222.0,2026-04-21 20:32:56.000,4.6.0,202.0,166.0,42,True,,30.0,pre-commit,conda-forge/pre-commit,,5810260.0,137705703.0,308578.0,276000.0,https://pypi.org/project/pre-commit,137497814.0,https://anaconda.org/conda-forge/pre-commit,2026-04-22 11:48:25.495,9471393.0,1.0,2026-04-21 20:31:40.000,32578.0,,,,,,,,,,,,,,,,
23,hypothesis,HypothesisWorks/hypothesis,testing,The property-based testing library for Python.,,https://github.com/HypothesisWorks/hypothesis,https://github.com/HypothesisWorks/hypothesis,MPL-2.0,2013-03-10 13:51:19.000,2026-04-27 23:30:22.698000,2026-04-27 20:18:23,17333.0,132.0,643.0,64.0,2960.0,1692.0,8598.0,2026-04-27 20:19:01.000,hypothesis-python-6.152.4,1498.0,366.0,42,True,,74.0,hypothesis,conda-forge/hypothesis,,,32580529.0,45673.0,40370.0,https://pypi.org/project/hypothesis,32325039.0,https://anaconda.org/conda-forge/hypothesis,2026-04-27 23:30:22.698,18139793.0,1.0,2026-04-27 20:18:35.000,5303.0,,,,,,,,,,,,,,,,
24,sphinx,sphinx-doc/sphinx,documentation,The Sphinx documentation generator.,,https://github.com/sphinx-doc/sphinx,https://github.com/sphinx-doc/sphinx,,2015-01-02 10:53:28.000,2026-04-26 22:53:21.000000,2025-12-31 15:07:44,22399.0,,2394.0,169.0,6663.0,6185.0,7796.0,2025-12-31 15:09:25.000,9.1.0,241.0,908.0,42,False,,1423.0,sphinx,conda-forge/sphinx,['sphinx'],,73089700.0,518847.0,482790.0,https://pypi.org/project/sphinx,72887156.0,https://anaconda.org/conda-forge/sphinx,2026-01-01 12:53:05.325,14380659.0,1.0,2025-12-31 15:09:25.000,36057.0,,,,,,,,,,,,,,,,
25,jedi,davidhalter/jedi,refactoring,"Awesome autocompletion, static analysis and refactoring library for python.",,https://github.com/davidhalter/jedi,https://github.com/davidhalter/jedi,MIT,2012-02-19 23:12:30.000,2026-04-27 16:25:07.000000,2026-04-27 16:15:45,8544.0,35.0,526.0,106.0,626.0,1387.0,6133.0,2024-11-11 01:41:40.000,0.19.2,35.0,178.0,42,True,,75.0,jedi,conda-forge/jedi,,,134543334.0,597250.0,596097.0,https://pypi.org/project/jedi,134005059.0,https://anaconda.org/conda-forge/jedi,2025-04-22 14:56:29.139,37679274.0,1.0,2024-11-11 01:41:40.000,1153.0,,,,,,,,,,,,,,,,
26,mkdocs,mkdocs/mkdocs,documentation,Project documentation with Markdown.,,https://github.com/mkdocs/mkdocs,https://github.com/mkdocs/mkdocs,BSD-2-Clause,2014-01-11 21:05:21.000,2025-10-20 13:17:06.000000,2025-10-20 13:17:06,2118.0,,2602.0,223.0,1360.0,2001.0,22039.0,2024-08-30 12:24:05.000,1.6.1,62.0,262.0,40,True,,144.0,mkdocs,conda-forge/mkdocs,['mkdocs'],,16003165.0,107221.0,100085.0,https://pypi.org/project/mkdocs,15987696.0,https://anaconda.org/conda-forge/mkdocs,2025-04-22 14:56:22.183,897213.0,1.0,2024-08-30 12:24:05.000,7136.0,,,,,,,,,,,,,,,,
27,Nuitka,Nuitka/Nuitka,packaging,"Nuitka is a Python compiler written in Python. Its fully compatible with Python 2.6, 2.7, 3.4-3.13. You feed it your..",,https://github.com/Nuitka/Nuitka,https://github.com/Nuitka/Nuitka,AGPL-3.0,2013-04-23 15:40:33.000,2026-04-30 09:44:41.000000,2026-04-30 06:34:57,14749.0,450.0,772.0,136.0,543.0,2616.0,14786.0,2026-04-10 07:18:15.000,4.0.8,379.0,209.0,40,True,,208.0,nuitka,conda-forge/nuitka,,,2265668.0,3984.0,3778.0,https://pypi.org/project/nuitka,2223491.0,https://anaconda.org/conda-forge/nuitka,2026-04-10 13:48:03.006,2994610.0,1.0,2026-04-10 07:18:15.000,206.0,,,,,,,,,,,,,,,,
28,pip-tools,jazzband/pip-tools,dependency-managers,A set of tools to keep your pinned Python dependencies fresh.,,https://github.com/jazzband/pip-tools,https://github.com/jazzband/pip-tools,BSD-3-Clause,2012-09-10 08:50:26.000,2026-04-30 15:59:33.000000,2026-04-15 17:37:37,2605.0,121.0,598.0,96.0,1189.0,973.0,8005.0,2026-02-11 17:41:16.000,7.5.3,73.0,223.0,40,True,,175.0,pip-tools,conda-forge/pip-tools,,,27647451.0,37704.0,37704.0,https://pypi.org/project/pip-tools,27643081.0,https://anaconda.org/conda-forge/pip-tools,2026-02-12 02:27:03.925,310316.0,2.0,,,,,,,,,,,,,,,,,,
29,sentry-sdk,getsentry/sentry-python,logging,The official Python SDK for Sentry.io.,,https://github.com/getsentry/sentry-python,https://github.com/getsentry/sentry-python,MIT,2018-06-18 22:51:10.000,2026-04-30 16:00:28.000000,2026-04-30 13:46:41,3890.0,320.0,608.0,69.0,3723.0,1957.0,2176.0,2026-04-13 17:23:45.000,2.58.0,330.0,310.0,40,True,,468.0,sentry-sdk,conda-forge/sentry-sdk,,4358.0,113592713.0,1611.0,,https://pypi.org/project/sentry-sdk,113569258.0,https://anaconda.org/conda-forge/sentry-sdk,2026-04-13 20:36:31.904,1629224.0,1.0,2026-04-21 08:29:42.000,1611.0,,,,,,,,,,,,,,,,
